epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.8298,0.85256,2.56093,1.2967,0.64859,0.57182,0.62902,0.47419,0.82271,1.49191,1.31491,0.000235689,0.000235689,0.000235689
2,58.5701,0.92,1.6392,1.32284,0.60264,0.37906,0.46132,0.31932,1.14483,1.7531,1.61747,0.000465873,0.000465873,0.000465873
3,70.1038,0.98135,1.65664,1.37135,0.52137,0.43791,0.37673,0.25335,1.23718,2.22802,1.7267,0.000688204,0.000688204,0.000688204
4,81.3271,0.98114,1.60979,1.38065,0.65942,0.37916,0.43096,0.28383,1.25953,2.36236,1.80912,0.000678657,0.000678657,0.000678657
5,92.5551,0.97591,1.59083,1.37018,0.39309,0.49816,0.44829,0.32079,1.1068,1.97191,1.61586,0.000666876,0.000666876,0.000666876
6,103.613,0.96541,1.50629,1.37522,0.56227,0.46412,0.54048,0.3975,0.96721,1.61611,1.43706,0.000655095,0.000655095,0.000655095
7,114.734,0.91087,1.38592,1.32817,0.70248,0.51836,0.634,0.47341,0.97657,1.3539,1.44355,0.000643314,0.000643314,0.000643314
8,125.838,0.88725,1.30787,1.31613,0.78574,0.53455,0.66411,0.49645,0.88544,1.29203,1.39279,0.000631533,0.000631533,0.000631533
9,137.052,0.90049,1.31731,1.31406,0.70382,0.51376,0.5862,0.4315,0.92607,1.52108,1.3786,0.000619752,0.000619752,0.000619752
10,148.216,0.85522,1.24244,1.28696,0.66516,0.58445,0.64548,0.47597,0.90164,1.38034,1.34938,0.000607971,0.000607971,0.000607971
11,159.566,0.86147,1.22391,1.29008,0.70152,0.62248,0.68403,0.51012,0.89985,1.24277,1.36113,0.00059619,0.00059619,0.00059619
12,171.032,0.84436,1.16724,1.2765,0.80168,0.6311,0.71632,0.56223,0.8573,1.10936,1.30083,0.000584409,0.000584409,0.000584409
13,182.367,0.80353,1.11368,1.24811,0.65034,0.67838,0.73381,0.56896,0.83916,1.08275,1.30832,0.000572628,0.000572628,0.000572628
14,193.719,0.81944,1.09137,1.25452,0.7241,0.63146,0.71518,0.53678,0.89331,1.16104,1.35171,0.000560847,0.000560847,0.000560847
15,204.669,0.80893,1.04445,1.24392,0.73345,0.64747,0.73619,0.58776,0.7987,1.00496,1.27893,0.000549066,0.000549066,0.000549066
16,215.755,0.7828,1.03658,1.22791,0.7989,0.67942,0.77574,0.61972,0.78241,0.9451,1.25472,0.000537285,0.000537285,0.000537285
17,226.897,0.76912,1.00416,1.22737,0.69225,0.65805,0.72736,0.56887,0.83604,1.06052,1.29252,0.000525504,0.000525504,0.000525504
18,237.833,0.74273,0.97923,1.21241,0.75815,0.65004,0.71924,0.58152,0.80249,1.15364,1.27816,0.000513723,0.000513723,0.000513723
19,248.935,0.77687,0.97403,1.22814,0.78231,0.65536,0.75419,0.60967,0.79761,1.00647,1.24833,0.000501942,0.000501942,0.000501942
20,259.985,0.74414,0.92873,1.20808,0.76719,0.71753,0.80558,0.64812,0.74688,0.94707,1.21811,0.000490161,0.000490161,0.000490161
21,271.257,0.73003,0.92235,1.19516,0.74107,0.65905,0.73194,0.59756,0.77102,1.04611,1.25129,0.00047838,0.00047838,0.00047838
22,282.595,0.71068,0.86965,1.18126,0.74164,0.65015,0.73485,0.58245,0.82455,1.0735,1.30203,0.000466599,0.000466599,0.000466599
23,293.546,0.71536,0.86851,1.18017,0.77631,0.70413,0.77714,0.64069,0.73693,0.97546,1.22654,0.000454818,0.000454818,0.000454818
24,304.603,0.70663,0.8592,1.18796,0.83238,0.73622,0.81936,0.67374,0.75029,0.77133,1.2227,0.000443037,0.000443037,0.000443037
25,315.956,0.69542,0.83459,1.16862,0.7378,0.70611,0.76581,0.63376,0.76122,0.95669,1.25013,0.000431256,0.000431256,0.000431256
26,327.358,0.68486,0.81058,1.16618,0.75899,0.70927,0.78202,0.63637,0.71602,0.89584,1.18809,0.000419475,0.000419475,0.000419475
27,338.723,0.66805,0.80318,1.15316,0.72419,0.71102,0.76335,0.62708,0.70779,1.00705,1.18625,0.000407694,0.000407694,0.000407694
28,349.86,0.67517,0.75703,1.15217,0.78817,0.72109,0.80586,0.66215,0.7273,0.82892,1.19601,0.000395913,0.000395913,0.000395913
29,360.762,0.66928,0.77169,1.14997,0.82582,0.73807,0.82622,0.69046,0.70446,0.79111,1.19821,0.000384132,0.000384132,0.000384132
30,371.878,0.66634,0.72564,1.14455,0.78881,0.74128,0.82214,0.67732,0.70515,0.76536,1.19106,0.000372351,0.000372351,0.000372351
31,382.936,0.66443,0.74146,1.14433,0.80962,0.77236,0.84094,0.70793,0.69396,0.74556,1.16788,0.00036057,0.00036057,0.00036057
32,394.267,0.64092,0.71734,1.13662,0.80898,0.7867,0.8201,0.6957,0.68907,0.84353,1.15693,0.000348789,0.000348789,0.000348789
33,405.506,0.64513,0.6912,1.12984,0.82502,0.73343,0.81397,0.68478,0.70379,0.81852,1.16936,0.000337008,0.000337008,0.000337008
34,416.977,0.64365,0.7138,1.12555,0.83333,0.75322,0.81562,0.6887,0.68004,0.78609,1.13835,0.000325227,0.000325227,0.000325227
35,428.063,0.61985,0.67393,1.12273,0.76885,0.70358,0.78447,0.65336,0.74265,0.89132,1.24921,0.000313446,0.000313446,0.000313446
36,439.349,0.62821,0.67007,1.12817,0.81242,0.75631,0.83437,0.69999,0.70034,0.77303,1.15705,0.000301665,0.000301665,0.000301665
37,450.555,0.61721,0.63306,1.11598,0.81103,0.75846,0.80021,0.67645,0.7125,0.81705,1.18937,0.000289884,0.000289884,0.000289884
38,461.862,0.61944,0.65389,1.11773,0.79923,0.75348,0.82872,0.70349,0.68109,0.73828,1.1513,0.000278103,0.000278103,0.000278103
39,473.434,0.61451,0.62267,1.10508,0.78218,0.76823,0.82813,0.69243,0.69251,0.71069,1.16616,0.000266322,0.000266322,0.000266322
40,484.684,0.5996,0.61043,1.10383,0.851,0.73463,0.83299,0.69642,0.70498,0.74075,1.16973,0.000254541,0.000254541,0.000254541
41,495.96,0.59719,0.58425,1.09256,0.89436,0.67043,0.8257,0.71291,0.66248,0.77489,1.14889,0.00024276,0.00024276,0.00024276
42,507.289,0.58821,0.57403,1.09625,0.87624,0.71195,0.84001,0.71433,0.68957,0.76913,1.17334,0.000230979,0.000230979,0.000230979
43,518.358,0.56953,0.53838,1.0922,0.86088,0.74705,0.84095,0.72132,0.6708,0.68238,1.15707,0.000219198,0.000219198,0.000219198
44,529.412,0.56077,0.54399,1.07584,0.82973,0.77747,0.84663,0.72116,0.66715,0.72136,1.14463,0.000207417,0.000207417,0.000207417
45,540.469,0.57058,0.55859,1.07764,0.82462,0.75553,0.83945,0.72324,0.66441,0.72081,1.15739,0.000195636,0.000195636,0.000195636
46,551.963,0.56866,0.54065,1.07072,0.82069,0.76555,0.84267,0.7178,0.69823,0.70752,1.17437,0.000183855,0.000183855,0.000183855
47,563.356,0.55487,0.5322,1.07214,0.83913,0.73986,0.82676,0.71645,0.6694,0.73785,1.15514,0.000172074,0.000172074,0.000172074
48,574.734,0.55621,0.51968,1.07081,0.85612,0.76713,0.85635,0.74027,0.67146,0.66581,1.16691,0.000160293,0.000160293,0.000160293
49,585.982,0.54498,0.5023,1.0547,0.88955,0.77688,0.86168,0.73456,0.66672,0.65933,1.14434,0.000148512,0.000148512,0.000148512
50,597.092,0.54931,0.50865,1.07657,0.82586,0.79384,0.85033,0.73421,0.65746,0.67381,1.1462,0.000136731,0.000136731,0.000136731
51,609.435,0.45643,0.40186,1.00613,0.80835,0.78907,0.85956,0.73151,0.6655,0.65284,1.1602,0.00012495,0.00012495,0.00012495
52,620.753,0.44655,0.36565,1.00136,0.87811,0.77781,0.86152,0.72775,0.65613,0.65713,1.15623,0.000113169,0.000113169,0.000113169
53,631.849,0.4383,0.35697,0.9954,0.8528,0.76562,0.85353,0.73633,0.64018,0.67812,1.13644,0.000101388,0.000101388,0.000101388
54,642.872,0.41201,0.32465,0.97388,0.89068,0.76932,0.87003,0.74448,0.64884,0.61991,1.14515,8.9607e-05,8.9607e-05,8.9607e-05
55,654.127,0.41642,0.3274,0.97524,0.86634,0.78094,0.87584,0.75368,0.64783,0.60146,1.13622,7.7826e-05,7.7826e-05,7.7826e-05
56,665.291,0.40122,0.30784,0.96376,0.85268,0.80366,0.86664,0.75349,0.63092,0.59526,1.11471,6.6045e-05,6.6045e-05,6.6045e-05
57,676.405,0.40116,0.29556,0.96768,0.87631,0.78859,0.87087,0.76022,0.62388,0.59328,1.10412,5.4264e-05,5.4264e-05,5.4264e-05
58,687.535,0.39192,0.30194,0.95733,0.87174,0.78597,0.86518,0.75782,0.6273,0.62551,1.11053,4.2483e-05,4.2483e-05,4.2483e-05
59,698.731,0.38513,0.29044,0.95802,0.88048,0.79603,0.86745,0.75552,0.63064,0.60994,1.12574,3.0702e-05,3.0702e-05,3.0702e-05
60,709.974,0.38718,0.28713,0.95734,0.85215,0.79996,0.87086,0.75752,0.61362,0.60239,1.10591,1.8921e-05,1.8921e-05,1.8921e-05
